Program,Operating systems,License,Costs,Protocols,Codecs,Encryption,Max conference peers,Other abilities,Latest release
AudioCodes MobilityPLUS,"Windows, Android, iOS",Proprietary,?,"SIP, RTP, XMPP, STUN, ICE","G.722 wideband, G.711a, G.711u, iLBC, G.729a, SILK, GSM, VP8, H.264, Opus","TLS, SRTP",Unknown,"Voice, video, IM, Group chat, content sharing, SMS and MMS over IP services, native and social network contacts integration, incoming call/IM push notifications.",2014; 6 years ago (2014)
Avaya Application Server 5300 Soft Client,Windows,Proprietary,?,"SIP, RTP",Unknown,"TLS, SRTP",Unknown,,2.0; 2010; 10 years ago (2010)
Blink,"Linux, macOS, Windows",Mixed: free software versions under GNU GPLv3 + shareware versions under gplv3 with exception of including proprietary code,"macOS version proprietary on App Store, free version limited to sponsored SIP provider; Windows version proprietary; Linux version open source","ICE, SIP, MSRP, RFB (VNC), XCAP","Opus, speex, G.722, GSM, iLBC, PCMU, PCMA","TLS, SRTP and ZRTP on all versions, OTR/SMP on Linux and macOS only[2]",No limit,"IM, file transfer, desktop sharing, multi-party conference, wideband",Blink Qt
CSipSimple,Android,GPL,Free,"SIP, ICE, STUN, TURN","Opus, AMR, G.711 (u-law/a-law), speex, G.722, GSM, iLBC, G.729 (need to buy a licensed plugin), iSAC, SILK (narrow-band/wide-band/ultra wide-band)","SRTP, SIP over TLS 1.0 and ZRTP",Unknown,"SIP SIMPLE messaging, Support for IPv6, Integration with Android operating system with filters and rewriting rules",1.0.2; November 2014; 6 years ago (2014-11)
Cisco IP Communicator[3],Windows,Proprietary,Free (for Cisco SMB Partners only),"SCCP (Skinny), SIP, TFTP, HTTP (for XML Services)","G.722 wideband, G.711a, G.711u, iLBC, iSAC, G.729a, G.729ab",SRTP,"No limit (with bridge), 2 otherwise[4]","Call Recording, Silent Monitoring, Multiple lines and directory numbers, Configurable speed dial, Calling name and number display, Call Waiting, Call Forward, Call Transfer, Three-Way Calling (conference), Call Park, Call Pickup, Redial, Hold, Barge, Callback, Extension Mobility, Message waiting indicator, iDivert, Meet Me conferencing, Group Pickup, Do Not Disturb, XML Services","8.6.6; April 27, 2016; 4 years ago (2016-04-27)"
CounterPath Corporation Bria,"Windows, macOS, iOS, Android",Proprietary,?,"SIP, RTP, XMPP, STUN, ICE","G.722 wideband, G.711a, G.711u, iLBC, G.729a, SILK, GSM, VP8, H.264, Opus","TLS, SRTP","6 party voice, 3 party video","Voice and video calling, SIP and XMPP messaging support, group chat, file, image and document sharing, contact integration, incoming call/IM push notifications","5.3.4 July 23,  2018; 2 years ago (2018-07-23)"
Discord,"macOS, Android, iOS, Windows, Linux",Proprietary,"Free, Premium ""Nitro"" Subscription for Additional Features.","RTP, UDP, WS, HTTPS",Opus,TLS,"5000 soft limit for voice calls,[5] 25 hard limit for video[6]","IM, file sharing, in-game overlay","59746; April 24, 2020; 6 months ago (2020-04-24)"
Ekiga,"Linux, Windows, OpenSolaris",GPL,Free,"SIP, H.323, STUN, Zeroconf, XMPP, RTP","H.263, H.264/MPEG-4 AVC, Theora, iLBC, Speex, SILK, GSM, ...",No,Unknown,"Video, IM, LDAP, Call Forwarding, Call Transfer, Auto-answering, PC to phone, phone to PC, Multiple accounts, USP support, Message waiting indicator, SIMPLE-based presence etc.","4.0.1 (February 21, 2013; 7 years ago (2013-02-21)) [±][7]"
Empathy,Linux,GPL,Free,"SIP, XMPP (Jingle), ICE (STUN-TURN), Zeroconf",Unknown,No,Unknown,"IM, multi-user A/V,[8]  collaborative applications","3.12.12[9] (May 13, 2016; 4 years ago (2016-05-13)) [±]"
Eyeball Chat,Windows,Proprietary,Free,"SIP, STUN, ICE, XMPP",Unknown,Yes,5[10],"IM, Conferencing, Voice, Video and SIMPLE based presence",Windows 3.2; 2009; 11 years ago (2009)
eyeBeam,Windows,Proprietary,?,SIP-SIMPLE,Unknown,"TLS, SRTP",6 party audio; 3 party video,Voice and Video calling; IM; Import Microsoft Outlook Contacts; USB Support; Call Recording and Conferencing,1.5.20.1; March 2010; 10 years ago (2010-03)
FaceTime,"iOS, macOS",Proprietary,Free,"SIP, IETF, Signaling protocol for VoIP, STUN, TURN and ICE| IETF, technologies for traversing firewalls and NAT","H.264 Video, AAC-ELD Audio, H.263 and VP8","RTP, SRTP IETF|standards for delivering real-time and encrypted media streams for VoIP.",20,"Video, voice, conferencing, with additional tools available as ""Services"".",
Google Hangouts,"Linux, Windows, macOS, Android, iOS",Proprietary (using libjingle),Free,XMPP,"H.264/SVC, H.264/AVC, H.263 and VP8",SRTP,10,"Video, chat, screen sharing, with additional tools available as ""Hangout Apps"".","Google Chrome Web Store extension  2020.803.419.1 (August 12, 2020; 2 months ago (2020-08-12)) [±] [11]"
