,,Trident,Tasman,Gecko,WebKit,KHTML,Presto
Interface HTMLCollection,Interface HTMLCollection,Interface HTMLCollection,Interface HTMLCollection,Interface HTMLCollection,Interface HTMLCollection,Interface HTMLCollection,Interface HTMLCollection
DOM1,length,7.0,?,1.0,?,?,1.0
DOM1,item(),7.0,?,1.0,?,?,1.0
DOM1,namedItem(),7.0,?,1.0,?,?,1.0
Interface HTMLOptionsCollection,Interface HTMLOptionsCollection,Interface HTMLOptionsCollection,Interface HTMLOptionsCollection,Interface HTMLOptionsCollection,Interface HTMLOptionsCollection,Interface HTMLOptionsCollection,Interface HTMLOptionsCollection
DOM2,length,?,?,1.0,?,?,2.0
DOM2,item(),?,?,1.0,?,?,2.0
DOM2,namedItem(),?,?,1.0,?,?,2.0
Interface HTMLDocument,Interface HTMLDocument,Interface HTMLDocument,Interface HTMLDocument,Interface HTMLDocument,Interface HTMLDocument,Interface HTMLDocument,Interface HTMLDocument
DOM1,domain,4.0,Yes,1.0,Yes,?,1.0
DOM1,URL,4.0,Yes,1.0,Yes,?,1.0
DOM1,body,4.0,Yes,1.0,Yes,?,1.0
DOM1,images,4.0,Yes,1.0,Yes,?,1.0
DOM1,applets,4.0,Yes,1.0,Yes,?,1.0
DOM1,title,3.0,Yes,1.0,Yes,?,1.0
DOM1,referrer,3.0,Yes,1.0,Yes,?,1.0
DOM1,links,3.0,Yes,1.0,Yes,?,1.0
DOM1,forms,3.0,Yes,1.0,Yes,?,1.0
DOM1,anchors,3.0,Yes,1.0,Yes,?,1.0
DOM1,cookie,3.0,Yes,1.0,Yes,?,1.0
DOM1,open(),3.0,Yes,1.0,Yes,?,1.0
DOM1,close(),3.0,Yes,1.0,Yes,?,1.0
DOM1,write(),3.0,Yes,1.0,Yes,?,1.0
DOM1,writeln(),3.0,Yes,1.0,Yes,?,1.0
DOM1,getElementsByName(),Yes,?,1.0,Yes,?,1.0
Interface HTMLElement,Interface HTMLElement,Interface HTMLElement,Interface HTMLElement,Interface HTMLElement,Interface HTMLElement,Interface HTMLElement,Interface HTMLElement
DOM1,id,4.0,Yes,1.0,?,?,1.0
DOM1,title,4.0,Yes,1.0,?,?,1.0
DOM1,lang,4.0,Yes,1.0,?,?,1.0
DOM1,className,4.0,Yes,1.0,?,?,1.0
DOM1,dir,5.0,Yes,1.0,?,?,1.0
Interface HTMLHtmlElement,Interface HTMLHtmlElement,Interface HTMLHtmlElement,Interface HTMLHtmlElement,Interface HTMLHtmlElement,Interface HTMLHtmlElement,Interface HTMLHtmlElement,Interface HTMLHtmlElement
DOM1,version,6.0,?,1.0,?,?,2.0
Interface HTMLHeadElement,Interface HTMLHeadElement,Interface HTMLHeadElement,Interface HTMLHeadElement,Interface HTMLHeadElement,Interface HTMLHeadElement,Interface HTMLHeadElement,Interface HTMLHeadElement
DOM1,profile,8.0,?,1.0,?,?,1.0
Interface HTMLLinkElement,Interface HTMLLinkElement,Interface HTMLLinkElement,Interface HTMLLinkElement,Interface HTMLLinkElement,Interface HTMLLinkElement,Interface HTMLLinkElement,Interface HTMLLinkElement
DOM1,disabled,4.0,Yes,1.0,?,?,1.0
DOM1,charset,4.0,Yes,1.0,?,?,1.0
